"id","name","area","ingredients"
52961,"Budino Di Ricotta","Italian","Ricotta, Eggs, Flour, Sugar, Cinnamon, Lemons, Dark Rum, Icing Sugar"
52969,"Chakchouka ","Tunisian","Tomatoes, Olive Oil, Onion, Red Pepper, Green Pepper, Garlic, Cumin, Paprika, Salt, Chili Powder, Eggs"
52877,"Lamb and Potato pie","British","Lamb Shoulder, Flour, Vegetable Oil, Onion, Carrots, Vegetable Stock, Potatoes, Shortcrust Pastry, Eggs"
52787,"Hot Chocolate Fudge","American","Chocolate Chips, Heavy Cream, Condensed Milk, Vanilla Extract, White Chocolate Chips, Miniature Marshmallows"
52813,"Kentucky Fried Chicken","American","Chicken, Oil, Egg White, Flour, Brown Sugar, Salt, paprika, onion salt, chili powder, black pepper, celery salt, sage, garlic powder, allspice, oregano, basil, marjoram"
52933,"Rappie Pie","Canadian","Butter, Onions, Chicken Stock, Chicken Breast, Potatoes, Salt, Black Pepper"
52780,"Potato Gratin with Chicken","Unknown","Potatoes, Onions, Olive Oil, Chicken Stock, Creme Fraiche, Parmesan, Chicken Breasts, Bacon, Spinach, Peas"
52884,"Lancashire hotpot","British","Butter, Lamb, Lamb Kidney, Onions, Carrots, Plain Flour, Worcestershire Sauce, Chicken Stock, Bay Leaves, Potatoes"
53011,"Chicken Quinoa Greek Salad","Greek","Quinoa, Butter, Red Chilli, Garlic, Chicken Breast, Olive Oil, Black Olives, Red Onions, Feta, Mint, Lemon"
52850,"Chicken Couscous","Moroccan","Olive Oil, Onion, Chicken Breast, Ginger, Harissa Spice, Dried Apricots, Chickpeas, Couscous, Chicken Stock, Coriander"
52863,"Vegetarian Casserole","British","Rapeseed Oil, Onion, Garlic, Paprika, Cumin, Thyme, Carrots, Celery, Red Pepper, Yellow Pepper, Tomato, Vegetable Stock Cube, Courgettes, Thyme, Lentils"
52972,"Tunisian Lamb Soup","Tunisian","Lamb Mince, Garlic, Onion, Spinach, Tomato Puree, Cumin, Chicken Stock, Harissa Spice, Chickpeas, Lemon Juice, Macaroni, Salt, Pepper"
52964,"Smoked Haddock Kedgeree","Indian","Butter, Onion, Cardamom, Turmeric, Cinnamon Stick, Bay Leaf, Basmati Rice, Chicken Stock, Smoked Haddock, Eggs, Parsley, Lemon"
52898,"Chelsea Buns","British","White Flour, Salt, Yeast, Milk, Butter, Eggs, Vegetable Oil, Butter, Brown Sugar, Cinnamon, Dried Fruit, Milk, Caster Sugar"
52881,"Steak and Kidney Pie","British","Puff Pastry, Egg White, Egg Yolks, Vegetable Oil, Beef, Lamb Kidney, Onions, Plain Flour, Beef Stock, Salt, Pepper, Worcestershire Sauce"
52981,"Snert (Dutch Split Pea Soup)","Dutch","Water, Peas, Pork, Vegetable Stock Cube, Celery, Carrots, Potatoes, Onion, Leek, Celeriac, Sausages"
